
Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27me3_ZDNA.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27me3_ZDNA.intersect_with_DeepZ.genes_uniq.txt (229)	H3K27me3_ZDNA.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K27me3_ZDNA.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K27me3_ZDNA.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K27me3_ZDNA.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K27me3_ZDNA.intersect_with_DeepZ.genes_uniq.txt (FDR)
cell proliferation involved in metanephros development (GO:0072203)	7	3	.08	+	38.54	1.49E-04	1.66E-02
regulation of resting membrane potential (GO:0060075)	9	3	.10	+	29.98	2.68E-04	2.63E-02
adenylate cyclase-activating dopamine receptor signaling pathway (GO:0007191)	10	3	.11	+	26.98	3.46E-04	3.16E-02
cell proliferation involved in kidney development (GO:0072111)	10	3	.11	+	26.98	3.46E-04	3.14E-02
reproductive behavior (GO:0019098)	26	4	.29	+	13.84	3.12E-04	2.92E-02
regulation of AMPA receptor activity (GO:2000311)	26	4	.29	+	13.84	3.12E-04	2.90E-02
regulation of animal organ formation (GO:0003156)	26	4	.29	+	13.84	3.12E-04	2.88E-02
positive T cell selection (GO:0043368)	29	4	.32	+	12.40	4.54E-04	3.94E-02
ureteric bud morphogenesis (GO:0060675)	51	6	.57	+	10.58	3.76E-05	6.33E-03
branching involved in ureteric bud morphogenesis (GO:0001658)	43	5	.48	+	10.46	1.79E-04	1.92E-02
positive regulation of potassium ion transport (GO:0043268)	69	8	.77	+	10.43	2.07E-06	6.56E-04
mesonephric tubule morphogenesis (GO:0072171)	52	6	.58	+	10.38	4.16E-05	6.78E-03
labyrinthine layer development (GO:0060711)	44	5	.49	+	10.22	1.98E-04	2.06E-02
positive regulation of potassium ion transmembrane transport (GO:1901381)	62	7	.69	+	10.15	1.07E-05	2.23E-03
genitalia development (GO:0048806)	46	5	.51	+	9.78	2.40E-04	2.38E-02
nephron morphogenesis (GO:0072028)	66	7	.73	+	9.54	1.56E-05	3.20E-03
renal tubule morphogenesis (GO:0061333)	66	7	.73	+	9.54	1.56E-05	3.16E-03
negative regulation of muscle cell differentiation (GO:0051148)	58	6	.64	+	9.30	7.29E-05	1.01E-02
pancreas development (GO:0031016)	69	7	.77	+	9.12	2.04E-05	3.83E-03
embryonic pattern specification (GO:0009880)	70	7	.78	+	8.99	2.22E-05	3.94E-03
renal tubule development (GO:0061326)	81	8	.90	+	8.88	6.22E-06	1.54E-03
odontogenesis of dentin-containing tooth (GO:0042475)	82	8	.91	+	8.77	6.76E-06	1.64E-03
nephron tubule morphogenesis (GO:0072078)	62	6	.69	+	8.70	1.03E-04	1.27E-02
neuron fate commitment (GO:0048663)	62	6	.69	+	8.70	1.03E-04	1.26E-02
neural crest cell migration (GO:0001755)	53	5	.59	+	8.48	4.39E-04	3.83E-02
nephron epithelium morphogenesis (GO:0072088)	64	6	.71	+	8.43	1.21E-04	1.41E-02
nephron tubule development (GO:0072080)	77	7	.86	+	8.18	3.92E-05	6.52E-03
substrate adhesion-dependent cell spreading (GO:0034446)	56	5	.62	+	8.03	5.55E-04	4.41E-02
ureteric bud development (GO:0001657)	80	7	.89	+	7.87	4.92E-05	7.85E-03
mesonephric tubule development (GO:0072164)	81	7	.90	+	7.77	5.29E-05	8.36E-03
mesonephric epithelium development (GO:0072163)	81	7	.90	+	7.77	5.29E-05	8.28E-03
kidney morphogenesis (GO:0060993)	83	7	.92	+	7.58	6.11E-05	9.11E-03
cardiac chamber morphogenesis (GO:0003206)	119	10	1.32	+	7.56	1.67E-06	5.73E-04
mesonephros development (GO:0001823)	85	7	.95	+	7.41	7.03E-05	9.93E-03
nephron epithelium development (GO:0072009)	98	8	1.09	+	7.34	2.26E-05	3.97E-03
nephron development (GO:0072006)	126	10	1.40	+	7.14	2.70E-06	8.05E-04
positive regulation of cation transmembrane transport (GO:1904064)	171	13	1.90	+	6.84	1.35E-07	7.33E-05
metanephros development (GO:0001656)	79	6	.88	+	6.83	3.51E-04	3.15E-02
regulation of neurotransmitter receptor activity (GO:0099601)	80	6	.89	+	6.75	3.74E-04	3.32E-02
kidney epithelium development (GO:0072073)	126	9	1.40	+	6.42	1.89E-05	3.69E-03
regulation of heart rate (GO:0002027)	99	7	1.10	+	6.36	1.72E-04	1.86E-02
inorganic ion import across plasma membrane (GO:0099587)	85	6	.95	+	6.35	5.07E-04	4.22E-02
inorganic cation import across plasma membrane (GO:0098659)	85	6	.95	+	6.35	5.07E-04	4.20E-02
cardiac conduction (GO:0061337)	85	6	.95	+	6.35	5.07E-04	4.17E-02
heart morphogenesis (GO:0003007)	241	17	2.68	+	6.34	4.36E-09	3.82E-06
regulation of striated muscle cell differentiation (GO:0051153)	86	6	.96	+	6.27	5.37E-04	4.36E-02
positive regulation of ion transmembrane transport (GO:0034767)	187	13	2.08	+	6.25	3.53E-07	1.59E-04
axis specification (GO:0009798)	88	6	.98	+	6.13	6.03E-04	4.69E-02
regulation of osteoblast differentiation (GO:0045667)	120	8	1.33	+	6.00	8.72E-05	1.16E-02
regulation of potassium ion transport (GO:0043266)	120	8	1.33	+	6.00	8.72E-05	1.15E-02
odontogenesis (GO:0042476)	120	8	1.33	+	6.00	8.72E-05	1.14E-02
regulation of potassium ion transmembrane transport (GO:1901379)	106	7	1.18	+	5.94	2.55E-04	2.52E-02
cardiac ventricle development (GO:0003231)	123	8	1.37	+	5.85	1.03E-04	1.28E-02
multicellular organismal signaling (GO:0035637)	128	8	1.42	+	5.62	1.33E-04	1.51E-02
regulation of neuron differentiation (GO:0045664)	193	12	2.15	+	5.59	3.01E-06	8.65E-04
regulation of muscle cell differentiation (GO:0051147)	145	9	1.61	+	5.58	5.35E-05	8.29E-03
cardiac chamber development (GO:0003205)	162	10	1.80	+	5.55	2.15E-05	3.96E-03
regulation of epithelial cell differentiation (GO:0030856)	147	9	1.63	+	5.51	5.91E-05	8.90E-03
branching morphogenesis of an epithelial tube (GO:0048754)	132	8	1.47	+	5.45	1.63E-04	1.77E-02
positive regulation of transmembrane transport (GO:0034764)	238	14	2.65	+	5.29	8.35E-07	3.48E-04
mesoderm development (GO:0007498)	121	7	1.35	+	5.20	5.44E-04	4.36E-02
morphogenesis of a branching epithelium (GO:0061138)	160	9	1.78	+	5.06	1.09E-04	1.31E-02
mesenchymal cell differentiation (GO:0048762)	162	9	1.80	+	5.00	1.20E-04	1.41E-02
regeneration (GO:0031099)	163	9	1.81	+	4.97	1.25E-04	1.44E-02
renal system development (GO:0072001)	291	16	3.24	+	4.94	3.21E-07	1.49E-04
cell fate commitment (GO:0045165)	238	13	2.65	+	4.91	4.49E-06	1.20E-03
morphogenesis of a branching structure (GO:0001763)	169	9	1.88	+	4.79	1.62E-04	1.78E-02
kidney development (GO:0001822)	282	15	3.14	+	4.78	1.12E-06	4.32E-04
regulation of cation transmembrane transport (GO:1904062)	378	20	4.20	+	4.76	1.88E-08	1.35E-05
limb development (GO:0060173)	175	9	1.95	+	4.63	2.08E-04	2.11E-02
appendage development (GO:0048736)	175	9	1.95	+	4.63	2.08E-04	2.09E-02
signal release (GO:0023061)	157	8	1.75	+	4.58	4.95E-04	4.16E-02
potassium ion transmembrane transport (GO:0071805)	158	8	1.76	+	4.55	5.15E-04	4.22E-02
positive regulation of ion transport (GO:0043270)	297	15	3.30	+	4.54	2.07E-06	6.66E-04
urogenital system development (GO:0001655)	324	16	3.60	+	4.44	1.24E-06	4.56E-04
cell-substrate adhesion (GO:0031589)	184	9	2.05	+	4.40	2.96E-04	2.82E-02
regulation of cation channel activity (GO:2001257)	186	9	2.07	+	4.35	3.20E-04	2.94E-02
regulation of heart contraction (GO:0008016)	230	11	2.56	+	4.30	7.75E-05	1.06E-02
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	253	12	2.81	+	4.27	3.97E-05	6.53E-03
protein dephosphorylation (GO:0006470)	212	10	2.36	+	4.24	1.82E-04	1.93E-02
axon guidance (GO:0007411)	277	13	3.08	+	4.22	2.10E-05	3.91E-03
neuron projection guidance (GO:0097485)	278	13	3.09	+	4.21	2.18E-05	3.96E-03
regulation of neurogenesis (GO:0050767)	364	17	4.05	+	4.20	1.19E-06	4.48E-04
regionalization (GO:0003002)	317	14	3.52	+	3.97	1.94E-05	3.73E-03
tissue morphogenesis (GO:0048729)	545	24	6.06	+	3.96	2.01E-08	1.38E-05
regulation of ion transmembrane transport (GO:0034765)	502	22	5.58	+	3.94	8.76E-08	5.13E-05
morphogenesis of an epithelium (GO:0002009)	441	19	4.90	+	3.87	8.82E-07	3.57E-04
pattern specification process (GO:0007389)	426	18	4.74	+	3.80	2.25E-06	6.96E-04
epithelial tube morphogenesis (GO:0060562)	309	13	3.44	+	3.78	6.19E-05	9.06E-03
extracellular matrix organization (GO:0030198)	383	16	4.26	+	3.76	9.56E-06	2.13E-03
extracellular structure organization (GO:0043062)	384	16	4.27	+	3.75	9.86E-06	2.16E-03
external encapsulating structure organization (GO:0045229)	386	16	4.29	+	3.73	1.05E-05	2.27E-03
animal organ morphogenesis (GO:0009887)	956	39	10.63	+	3.67	4.18E-12	3.30E-08
regulation of nervous system development (GO:0051960)	443	18	4.93	+	3.65	3.80E-06	1.07E-03
regulation of transmembrane transport (GO:0034762)	591	24	6.57	+	3.65	8.64E-08	5.25E-05
muscle cell differentiation (GO:0042692)	247	10	2.75	+	3.64	5.82E-04	4.55E-02
muscle structure development (GO:0061061)	473	19	5.26	+	3.61	2.38E-06	7.23E-04
muscle tissue development (GO:0060537)	301	12	3.35	+	3.59	1.92E-04	2.02E-02
regulation of blood circulation (GO:1903522)	278	11	3.09	+	3.56	3.76E-04	3.32E-02
heart development (GO:0007507)	535	21	5.95	+	3.53	9.79E-07	3.87E-04
vasculature development (GO:0001944)	514	20	5.72	+	3.50	2.04E-06	6.72E-04
blood vessel development (GO:0001568)	492	19	5.47	+	3.47	4.12E-06	1.14E-03
striated muscle tissue development (GO:0014706)	286	11	3.18	+	3.46	4.73E-04	4.08E-02
negative regulation of cellular component movement (GO:0051271)	293	11	3.26	+	3.38	5.74E-04	4.51E-02
blood vessel morphogenesis (GO:0048514)	410	15	4.56	+	3.29	7.83E-05	1.06E-02
axonogenesis (GO:0007409)	385	14	4.28	+	3.27	1.44E-04	1.63E-02
neuron projection morphogenesis (GO:0048812)	499	18	5.55	+	3.24	1.80E-05	3.56E-03
reproductive structure development (GO:0048608)	416	15	4.63	+	3.24	9.15E-05	1.17E-02
reproductive system development (GO:0061458)	419	15	4.66	+	3.22	9.88E-05	1.25E-02
